Site Data,,,,,,,"Benthic Data (%, except Complexity that is from 1 to 5]",,,,,,Species Data (Biomass g/m2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Island,Site,Reef Zone,Latitude,Longitude,Depth,Hard coral,Macroalgae,CCA,Turf algae,Sand,Complexity,ABAB,ABSO,ABVA,ACAC,ACAN,ACBL,ACDU,ACGU,ACLE,ACLI,ACMA,ACNC,ACNF,ACNR,ACOL,ACSP,ACTH,ACTR,ACXA,AENA,ALSC,AMBI,ANCH,ANCO,ANCU,ANSP,ANTH,APAR,APFU,APKA,APMA,APSP,APVI,ARHI,ARME,ASSE,ATIN,AUCH,BAPO,BIGE,BLEN,BOBI,BRMU,CAAB,CAAM,CACA,CACO,CADU,CAFE,CAGA,CAIG,CAJA,CALU,CAME,CAOR,CARD,CASA,CASO,CASP,CATY,CAVE,CAZO,CEAR,CEFI,CEFL,CEIN,CELO,CEPO,CHAC,CHAG,CHAU,CHCH,CHCI,CHEP,CHFR,CHHA,CHIN,CHKL,CHLC,CHLI,CHLT,CHLU,CHMI,CHMU,CHOR,CHOV,CHPE,CHQU,CHRE,CHSO,CHTI,CHTR,CHUB,CHUN,CHVA,CHVE,CIFA,CIJO,CIOB,CIPI,CISP,CIVA,CLSP,COBA,COCI,COFL,COFU,COGA,CONG,COVE,CTHA,CTST,CYLE,CYPR,DAAL,DEBA,DEMA,DIHO,DIHY,DOEX,ECNE,ELBI,ENCA,ENPA,ENPU,EPIN,EPQU,EUAF,EXBR,FICO,FILE,FISH,FOBR,FOFL,FOLO,FUDU,GEPE,GOAT,GOBI,GOVA,GOVI,GUCU,GYEU,GYFL,GYJA,GYME,GYMT,GYSP,GYST,GYUN,GYZE,HALF,HAOR,HECR,HEDI,HEPO,HETH,INAN,INPA,INUM,KAPE,KUSA,KYCI,KYHA,KYSA,KYVA,LAFO,LAPH,LIZA,LUFU,LUKA,MABI,MABR,MAGE,MENI,MEVI,MOGR,MORA,MUFL,MUMI,MUPF,MUVA,MYAM,MYBE,MYCH,MYKU,MYMA,MYSP,MYVI,NAAN,NABR,NACA,NAHE,NALI,NAMA,NASP,NAUN,NEAU,NEED,NEMA,NESA,NESP,NONE,NOTA,OPFA,OPPU,OSME,OXBI,OXTY,OXUN,PAAR,PACH,PACY,PAFO,PAIN,PAMA,PAMU,PAPL,PAPO,PARR,PASC,PEAS,PESP,PLAR,PLEW,PLGO,PLIM,PLJO,PLSI,POSE,PRME,PROL,PSBI,PSCE,PSDE,PSEV,PSHW,PSMA,PSOC,PSTE,PSTH,PTHE,PTSP,PUFF,RHAC,RHRE,SACA,SADI,SAEN,SAFL,SAGR,SAPP,SAPU,SASP,SATI,SAXA,SCCA,SCDI,SCDU,SCLY,SCPA,SCPP,SCPS,SCRU,SCSP,SEBA,SECO,SECR,SEDU,SESP,SNDP,SOLD,SPBA,SPDE,STBA,STFA,STNI,STSP,SUBU,SUFR,SURG,SYBI,SYDE,SYUL,SYVA,TATR,THBA,THCR,THDQ,THDU,THLU,THPU,THQU,THSP,THTR,TRIG,TROB,TYCR,WRAS,XAAU,XAME,ZACO,ZEFL,ZEVE
NWHI,French Frigate,FFS-150,Forereef,23.87322949,-166.2985042,7,27.5,2,0,67.75,2.5,2.25,0,0,0,0,0,1.209257196,0,0,0,0,0,0,0.229749956,0.769523209,1.013366913,0,0,1.134697039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.384263279,0,0,0,0,0,0,0,0,0,0.050356175,0,6.664394495,0,0,0.042603852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074689739,0,0,4.030110434,0,0,1.110174365,0,0.004337589,0,0,0.14242118,0,0.013443995,0,0,0,0,0,0,0,0,0,0,0.370088294,0,0.009393045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043167005,0,0,0,0,0,0,0,0,0,0,0,0,0.006453768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009537704,0.575196052,0.538800664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.390197321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17053552,0,0,0,0,0,0.265831476,0,0,0,0,0,0.064362224,0,0,0.00144904,0.003610459,0.017304064,0,0,0,0,0,0.002479865,0,0,0,0,0,0,0,0,0,0,0,0.638585599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.444593571,0,0,0,0,0,0,0,0,0,0,0.076542917,0,0,0,0,0,0,0,0,0,0,0,2.217064795,0,0,0.507926279,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NWHI,French Frigate,FFS-147,Forereef,23.88210903,-166.2337431,10,10,20,0.25,65.75,3.75,2.25,0,0,0,0,0,0.181965707,0,0,0,0,0,0,0.3700799,0.950777109,26.83799347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.648127103,0,0,0,0,0,0,0,0,0,0.015048621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167779641,0,0,0,0,0,0,0.008876515,0.235190958,0,0,0,0,0,0,0,0.063623836,0.089555646,0.248930534,0,0,0,1.694807866,0,0,0,0,0.134135786,0,0.028980347,0,0,0,0,0,0,0,0,0,0,0,0,0.097852559,0,0.009950226,0,0,0.587773909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061115498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049165296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008181776,0,0,0,0,0,0.035696098,0.345108938,0.582428799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.919783958,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166066896,0,0,0,0,0,0.141765893,0,0,0,0,0,0,0,0.001349615,0.003652359,0.01316368,0.009724059,0,0,0,0,0,0,0,0.006414426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.757709946,0.629451224,0,0,0,0,0,0,3.296679327,0,0,0.756993639,0,0,0,0,0,0,0,0,0,0,0,0.132004553,0.475449574,0
NWHI,French Frigate,FFS-160,Forereef,23.84464561,-166.3411943,24,52.5,1,12.5,29.75,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140457448,0.393396001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.91494529,0,0,0,0,0,0,0,0,0.321408951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108508884,0,0,0,0,0,0,0,0,0,0,0.164189049,0,0,0,0,0,0,0,0.625018587,0,0,0,0,0,0,0.108700802,0.323593451,0.294028844,0.104093078,0,0,0,2.018472375,0,0.058361437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255568603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018002886,0,0,0.535968956,0,0,0.102324651,0.862023175,0,1.358794661,0,0.174772272,0,0,0,0,0.302512582,0,0,0,0,0,0,0,0,0,0.761078923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330317044,0,0,0,0,0,0,0.109690165,0,0,0,0,0,0,0,0,0,0,0.015738634,0,0,0,0,0,0.033666085,0,0.007468005,0,0,0.027979935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.946522656,0,0,0,0,0.179026175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010864977,0,0,0,0.195019555,1.00492593,0,0,0,0,0,0,0,0,0,0.096843444,0,0,0,0,0,0,0,0,0,0,0,0.236803895,1.533619119,0
NWHI,French Frigate,FFS-168,Forereef,23.84894301,-166.3241134,4,5,1,55,31.5,3,2.5,0,0,0,3.960482339,0,0.856287152,0,0,0,0,0,0,1.528404359,1.453764735,0,0,0,0.476214854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.47687253,0,0,0,0,0,0,0,0,0.557678921,0,0,0,0,0,0,0,0,0,0.024467003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081750293,0,0,0,0,0,0,0,0,0,0,1.904803155,5.28979592,0.152247458,0,10.96823462,0,0.218617617,1.533255386,0,0.021023731,0,0.017532509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145649267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371361534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348902779,0,0,0,1.207132113,1.380435752,1.838726586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.371859126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163892116,0,0,0,0,0,0,0.237191689,0,0,0,0,0.053441122,0,0,0,0,0.01974552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288347996,0,0,0,0,0,0,0,0,0,0,0,0,0.153862937,0,0,0,1.524244681,0,0,0,0,0,0,0,0,0,0,0,0.140013909,0.080287585,0,0,0,0,0,0,0,0,0,0,0,0,0,0.969846481,0,0,0,0,0,0,0,0,0,0,0,0.102832271,0,0
NWHI,French Frigate,FFS-190,Lagoon,23.78879087,-166.1755718,2,3,11.25,33,52.5,0.25,1.75,0,0,0,0,0,1.560065244,0,0,0,0,0,0,0,0,0,0,0,2.095364647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.072373816,0,0,0,0,0,0,0,0,0.676815662,0,0,0,0,0,0,1.752618223,0,0,0,0,6.474354325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221525068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.452932691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00626203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.672947338,0,0,3.271811722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.712436367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027901461,0,0,0,0.079936435,0,0.011330775,0,0,0,0,0,0,0,0,0,0.22827063,0.009091039,0,0,0,0,0,0,0,0,0,0,1.995939359,0,0,0.759992523,0,0,0,0,0,0,0,0,0,0,0,0.878262967,0,0
NWHI,French Frigate,FFS-267,Lagoon,23.78673655,-166.2863706,26,1,59.5,0,7,32.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112881452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07043953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005454517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353230726,0,0,0,0,0,0,0,0,0.074474375,0.011548849,0,0,0.154856489,0,0,0,0,0.01006646,0,0,0,0,0,0,0,0.350897295,0,0,0,0,0,0,0,0.025747733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NWHI,French Frigate,FFS-256,Lagoon,23.83248431,-166.2491037,13.5,31.25,12.75,16.25,22,17.75,1.75,0,0,0,0,0,0.254795886,2.694601967,0,0,0,0,0,0,0,0.052027522,0,0,0.213123598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.74696791,0,0,0,0,0.018762516,0,0,0,1.677890634,0,0,0,0,0,0,0,0,0,0.014551244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050873642,0,0.001688457,0,0,0,0,0.061852313,0,0,0,0,0,0,0,0.733257534,0,0,0,1.237896113,0,0,0.929600743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049326647,0,0.088711692,0,0,0.530645943,0,0,0,0,0,0,0,0,0,0,0.029513327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004198912,0,0,0,0,0,0,0,0,0,0,0.322472546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13083692,0,0,0.276148166,0,0,0,0.229817077,0,0,0,0,0,0,0.027356416,0,0.426850671,0,0,0.161512983,0,0,0,0.392420231,0.420573374,0,0,0,0,0.078650051,0,0,0,0,0,0,0,0,0,0,0.045612238,0,0.003734002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.849430715,0,0,0,0.823067894,0,0.028773228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277074879,0,0,0,0,0,0,0,0,0,0,0,0.058565278,0,0
NWHI,French Frigate,FFS-171,Lagoon,23.8026257,-166.2546837,12,30,15,16.5,35.25,3.25,2.75,0,0,0,0,0,0.341890285,0.846436181,0,0,0,0,0,0.049351129,0,3.364824145,0,0,2.597345824,0,0,0,0,0.028769306,0,0.256579818,0,0,0,0,0,0,0,67.85190766,0,0,0,0,0,0,0,0,2.083839579,0,0,0,0.461640016,0,0.246416276,0,0,0,0.009418382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106130413,0,0,0,0,0,0,0.108700802,0,0,0,0,0,0,0,1.120577931,0.030840296,0,0,3.617093595,0,0,5.310415678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88702454,0,0,0,0.215493812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199083808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011222028,1.81410379,0,8.47409641,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77246185,0,0,5.589786614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58861618,0,0,0,0,0,0,0.186045684,0.13468045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.966858855,0,0,0,0.203907268,0,0,0,0,0,0,0,0,0,0,0,0.065508175,0.009091039,0,0,0,0,0,0,0,0,0,0,1.952235741,0,0,0.299818349,0,0,0,0,0,0,0,0,0,0,0,0.974723874,0,0
NWHI,French Frigate,FFS-151,Forereef,23.85988575,-166.3205941,8.5,35,3,5.75,46.75,7.75,2,0,0,0,0,0,0,0,0,0.000855617,0,0,0,2.378969125,0.824730621,1.459027189,0,0,0.077932628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.956627744,0,0,0,0,0,0.728060981,0,0,0,0.040362966,0,0,0,0,0.06794779,0,0,0,0,0,0,0,0,0,0,0.022391685,0,0,0,0,0,0,0.143843296,0.007414402,0,0,0,0,0,0,0.040875146,0.178696784,0,1.152566593,6.486826136,0,0,3.228221115,0,0.058361437,0,0,0.013796824,0,0.008249178,0,0,0,0,0,0,0,0,0,0,0,0,0.062610234,0,0.01406477,0,0,0.801434045,0,0,0,0,0,0,0,0,0,0,0.062045441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011157681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013463335,0,0,0,0,0,0.018294733,3.472596238,1.246982003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31107333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.177382861,0.080173584,0,0,0,0,0,0.239261326,0,0,0,0,0,0.084159047,0,0,0.002516615,0,0.040200174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209777001,0,0,0,0,0,0,0,0,0,0,0,0,0.340248789,0,0,0,0.930117723,0,0,0,0,0,0,0,0,0,0,0,0.088808458,0.070685109,0,0,0.202934012,0.183888875,0,0,0,0,0,0,1.625404171,0,0,0.709075335,0,0,0,0,0,0,0,0,0,0,0,0.078520717,0,0
NWHI,French Frigate,FFS-161,Forereef,23.83657845,-166.3242699,17,65,3,17.5,13.5,1,2,0,0,0,0,0,0,0,0,0,0,0.142547809,0,0.421122751,0.172084407,0.646331202,0,0,0.097459421,0,0,0,0,0.005728346,0,0,0,0,0,0,0,0,0,42.25957403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018836764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329365029,0,0,0,0,0,0,0.05966193,0.171813345,0,0,0,0,0,0,0,0.549383972,1.34828546,0,1.891375274,0,0,6.911834965,0,0.283128182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127438829,0,0,0.156736275,0,0,0,0,0,0,0,0,0,0,0.225701375,0,0,0.025184828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030663765,0,0,1.008192298,0,0,0.014035669,0.690217876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261673841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031017635,0,0,0,0,0,0.235200586,0,0,0.052171853,0,0,0.021842203,0,0,0,0,0.041504114,0,0,0,0,0,0.032633532,0,0,0,0,0.027669392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.382369933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021729955,0,0,0,0.105607581,0,0,0,0,0,0,0,0,0,0,0.187656766,0,0,0,0,0,0,0,0,0,0,0,0,0.169435994,0
